Algorytm;Funkcja testowa;Liczba szukanych parametrów;Prawdopobieñstwo mutacji;Prawdopobieñstwo crossover;Liczba iteracji;Rozmiar populacji;Znalezione minimum;Œrednia wartoœæ znalezionych parametrów;Odchylenie standardowe znalezionych parametrów;Wartoœæ funkcji celu;Odchylenie standardowe funkcji celu
GA;Rastrigin;2;0,1;0,9;5;10;(0,0358617938031175, 1,0340501913134208);(-0,4790081560536958, 0,3699397903920687);(2,2540834220098547, 1,9804433703790931);1,5513211402694083;8,532693773767265
GA;Rastrigin;2;0,1;0,9;10;10;(0,0004399772628806975, 0,9991238130128466);(-0,130684953772285, -0,005556385012115092);(1,9244051569321592, 2,005380880307552);0,9984383366848277;6,769632237616987
GA;Rastrigin;2;0,1;0,9;20;10;(-0,0007625191903879204, -2,446349401022353E-06);(-0,25613942026705383, -0,19751357776225636);(1,0393421031337031, 1,3042813428879445);0,00011535317377564525;3,0958804960833235
GA;Rastrigin;2;0,1;0,9;40;10;(-0,0006884596178475867, 0,0013811599466204518);(0,002755542261334557, 0,048614284064696395);(3,0203976045646663, 2,135633270802495);0,0004724840095988725;4,951146907318707
GA;Rastrigin;2;0,1;0,9;60;10;(0,0019064458341697017, 0,0049837696379442);(0,0007730043979447265, 0,049130278585919);(3,3271365918959916, 1,7231569638531479);0,005648308645817224;4,8328968207328185
GA;Rastrigin;2;0,1;0,9;80;10;(0,0002216176476432935, 0,0001813923572739416);(0,09928411477670489, 0,05051902433263829);(2,594109103736032, 1,4039371770327953);1,6271634503794985E-05;3,833170872827195
GA;Rastrigin;2;0,1;0,9;100;10;(-0,0002214215194418917, -0,9965406785802048);(-0,39801814880337066, -0,4978494180927943);(1,9184950418900122, 3,4922864463567653);0,9954651300363508;5,572759345793309
GA;Rastrigin;2;0,1;0,9;1000;10;(1,47294214641435E-06, 2,944090438003892E-05);(0,4477412069775132, 0,5472407056751234);(1,9252440377145759, 2,758632086565515);1,7239010929870346E-07;4,974791716642394
GA;Rastrigin;2;0,1;0,9;5;20;(0,006474193679498086, 0,9794446137891806);(-0,4629701569697865, -0,00844690048384874);(1,309664191060213, 1,8458908429748515);1,0509132572266537;4,406738052965204
GA;Rastrigin;2;0,1;0,9;10;20;(0,011340864376827263, -0,0002779694444662351);(-0,3493404712860734, -0,24389546010217295);(0,7528675737603346, 1,2444796121675692);0,025520827821530645;2,479575865404045
GA;Rastrigin;2;0,1;0,9;20;20;(0,002341159799417989, -0,0021317369586951983);(-0,24730264050446107, -0,19891159788049367);(2,177765595140356, 1,3179077014831595);0,00198891356352604;3,464086398336581
GA;Rastrigin;2;0,1;0,9;40;20;(-0,0001130271034630332, 3,358103414512485E-05);(0,2984282356504991, 0,050121922018376106);(1,1564584994559564, 1,3006640685319022);2,7582077919419135E-06;2,4392246787048135
GA;Rastrigin;2;0,1;0,9;60;20;(-1,4245862481321236E-07, -4,6806263925352424E-05);(-0,04959881477186578, 0,24876457554880843);(0,7790080704785803, 1,23745946629365);4,3464663690429006E-07;1,9901403731633867
GA;Rastrigin;2;0,1;0,9;80;20;(-0,0003550833616175223, -2,504245885413814E-05);(-0,09919173396511838, -0,2486547351799874);(1,1356359923811745, 1,0297053498796305);2,5138512718569928E-05;2,1394706720344594
GA;Rastrigin;2;0,1;0,9;100;20;(-3,660014461964472E-08, -7,923006915112592E-06);(-0,3979968589040407, -0,04967799697134513);(1,187871913049778, 1,0915537825594752);1,2454137277018162E-08;2,3381845142427258
GA;Rastrigin;2;0,1;0,9;1000;20;(4,8346063366139485E-06, 2,418389888895148E-06);(0,04975856441220763, 0,3482416277632555);(0,5705351281349625, 0,9664925926453909);5,797417657049664E-09;1,5919341754529126
GA;Rastrigin;2;0,1;0,9;5;40;(0,0092348088030689, 0,00953652182410232);(0,180290814075692, 0,003518714149020663);(0,5687589965273276, 0,5168576779357604);0,03495193800484486;1,9018005153049735
GA;Rastrigin;2;0,1;0,9;10;40;(-0,0005703661783452183, 0,002533152329587991);(-0,046917300387784654, -0,04360383959229217);(0,36330420861708673, 0,7734229815210787);0,0013375680231959564;1,2285935735248206
GA;Rastrigin;2;0,1;0,9;20;40;(0,0008794137091525656, -0,0003518814679772985);(0,05016815184010799, 0,24868360225608335);(0,5704686577143592, 0,6124436730041433);0,00017799480851010685;1,194640754494103
GA;Rastrigin;2;0,1;0,9;40;40;(4,0385410932803264E-08, -5,7210097643707645E-09);(-0,19899138044327375, 0,2487025170672117);(1,0002785141908643, 0,2996765300892343);3,304023721284466E-13;1,34324071810604
GA;Rastrigin;2;0,1;0,9;60;40;(-1,560751402311553E-09, -2,3815671623278395E-09);(-0,3482695977678385, 0,24886264307501266);(0,341332395774808, 0,9247539440421106);0;1,3929930765380372
GA;Rastrigin;2;0,1;0,9;80;40;(-1,349940150571141E-09, -1,159855651001945E-06);(0,04977001073214325, 0,04973400263188158);(0,3620430128829786, 0,362056711866628);2,6688695697885123E-10;0,6964779423614086
GA;Rastrigin;2;0,1;0,9;100;40;(-3,4883917265387784E-09, 5,422943457650841E-09);(-0,04970150022539377, -0,09949615893870827);(0,46632154432569556, 0,3021967716115179);7,105427357601002E-15;0,7462270038944114
GA;Rastrigin;2;0,1;0,9;1000;40;(4,836921228776641E-08, -1,7888558391175753E-10);(9,712779646975349E-09, 0,09949313627161664);(0,31261377348506403, 0,6148042850338588);4,618527782440651E-13;0,8954631994482393
GA;Rastrigin;2;0,1;0,9;5;80;(0,016726552825787167, 0,010249533674895173);(0,009090403408179548, -0,048187845352907835);(0,5147199466586362, 0,2635169675945577);0,07628934969508805;1,025025456497332
GA;Rastrigin;2;0,1;0,9;10;80;(0,0007308052935670571, -0,0007964610597256099);(0,04953883348028923, 0,04940647476958676);(0,04980340138731524, 0,26019295300284956);0,00023180614568474311;0,3407240240578922
GA;Rastrigin;2;0,1;0,9;20;80;(-1,0442031343385833E-05, -2,8820198552766336E-07);(-5,910590506846493E-05, 0,0001722170019207649);(0,10422981808827603, 0,10420631716924729);2,1648361325787846E-08;0,1991024423602342
